question,context
What is the pleomorphic form of lobular carcinoma in situ?,"Context.-Lobular neoplasia encompasses a spectrum of disease, including atypical lobular hyperplasia and lobular carcinoma in situ. Although classic forms of lobular neoplasia are predominantly heralded as a risk marker, the pleomorphic form of lobular carcinoma in situ is generally regarded as a more aggressive subtype and a possible cancer precursor, and thus is treated in a manner more similar to ductal carcinoma in situ than classic forms of lobular neoplasia. Objective.-To focus on the morphologic spectrum of lobular neoplasia as highlighted by 3 cases and current management recommendations. Areas of diagnostic challenge and controversy are addressed. Data Sources.-A review of the pertinent published literature and current national guidelines was conducted. Conclusions.-Correct classification of classic lobular neoplasia and pleomorphic lobular carcinoma in situ is critical because of differences in clinical management, with current treatment strategies focused on risk reduction for patients with classic lobular neoplasia and eradication of the lesion for those with pleomorphic lobular carcinoma in situ."
What is the tetratricopeptide repeat domain 7A gene?,"PURPOSE OF REVIEW: To update on the molecular and cellular basis of multiple intestinal atresia (MIA). RECENT FINDINGS: Mutations of the tetratricopeptide repeat domain 7A gene have been identified in patients with MIA and other related disorders, including MIA associated with combined immunodeficiency and very early onset inflammatory bowel disease with apoptotic enterocolitis. Pathological findings in patients with MIA and MIA associated with combined immunodeficiency include abnormalities of enterocyte apicobasal polarity, increased apoptosis of intestinal cells, decreased proliferation of intestinal crypts, and defects of thymic architecture associated with lymphoid depletion. Dysregulated RhoA signaling and defective expression of phosphatidylinositol 4-kinase IIIalpha represent biochemical cellular hallmarks of the disease. SUMMARY: The study of patients with MIA and related disorders has established that tetratricopeptide repeat domain 7A plays a critical role in intestinal and immune homeostasis. Identification of biochemical defects may pave the way to novel pharmacological interventions for this group of severe congenital disorders."
What is the most diverse ABC transporter known in P. falciparum?,"Plasmodium falciparum has the capacity to escape essentially all antimalarial drugs action. ATP-binding cassette (ABC) transporter proteins are known to be causative of multidrug resistance in a large range of organisms, including the Apicomplexa parasites. P. falciparum genome analysis has revealed two genes coding for Multidrug Resistance Protein (MRP) type of ABC transporters: Pfmrp1, previously associated with decreased parasite drug susceptibility, and the poorly studied Pfmrp2. The role of Pfmrp2 polymorphisms in modulating sensitivity to antimalarial drugs has not been established. We herein report a comprehensive account of the Pfmrp2 genetic variability in 46 Thai isolates. A notably high frequency of 2.8 single nucleotide polimorphisms (SNPs)/Kb was identified in this gene, with some SNPs being novel. Additionally, we also report that Pfmrp2 harbours a significant number of micro-indels, some previously not reported. We then investigated the potential association of the identified Pfmrp2 polymorphisms with altered in vitro susceptibility to several antimalarials used in the artemisinin based combination therapy and with the parasite clearance time. Association analysis suggested Pfmrp2 polymorphisms to modulate the parasite in vitro response to quinoline antimalarials, including chloroquine, piperaquine and mefloquine and association with in vivo parasite clearance. In conclusion, our study reveals that the Pfmrp2 gene is the most diverse ABC transporter known in P. falciparum with a potential role in antimalarial drug resistance."
What is the risk factor for Acute Stroke among South Asians?,Risk Factors for Acute Stroke among South Asians Compared to Other Racial/Ethnic Groups.
What is the most common reason for the mortality rate of HCC patients?,"BACKGROUND & AIMS: Official guidelines do not recommend hepatic resection (HR) for patients with hepatocellular carcinoma (HCC) and portal hypertension (PHT). This study aims to investigate the safety and efficacy of HR for patients with HCC and PHT. METHODS: Mortality and survival after HR were analyzed retrospectively in a consecutive sample of 1738 HCC patients with PHT (n = 386) or without it (n = 1352). To assess the robustness of findings, we repeated the analysis using propensity score-matched analysis. We also comprehensively searched the PubMed database for studies evaluating the efficacy and safety of HR for patients with HCC and PHT. RESULTS: The 90-day mortality rate was 6.7% among those with PHT and 2.1% among those without it (P<.001). Patients without PHT had a survival benefit over those with PHT at 1, 3, and 5 years (96% vs 90%, 75% vs 67%, 54% vs 45%, respectively; P = .001). In contrast, PHT was not associated with worse short- or long-term survival when only propensity score-matched pairs of patients and those with early-stage HCC or those who underwent minor hepatectomy were included in the analysis (all P>.05). Moreover, the recurrence rates were similar between the two groups. Consistent with our findings, all 9 studies identified in our literature search reported HR to be safe and effective for patients with HCC and PHT. CONCLUSIONS: HR is safe and effective in HCC patients with PHT and preserved liver function. This is especially true for patients who have early-stage HCC or who undergo minor hepatectomy."
What is the language of Mandarin?,Lexical tone and stuttering loci in Mandarin: Evidence from preschool children who stutter.
What is the term for invasive approaches?,"Brain stimulation, a therapy increasingly used for neurological and psychiatric disease, traditionally is divided into invasive approaches, such as deep brain stimulation (DBS), and noninvasive approaches, such as transcranial magnetic stimulation. The relationship between these approaches is unknown, therapeutic mechanisms remain unclear, and the ideal stimulation site for a given technique is often ambiguous, limiting optimization of the stimulation and its application in further disorders. In this article, we identify diseases treated with both types of stimulation, list the stimulation sites thought to be most effective in each disease, and test the hypothesis that these sites are different nodes within the same brain network as defined by resting-state functional-connectivity MRI. Sites where DBS was effective were functionally connected to sites where noninvasive brain stimulation was effective across diseases including depression, Parkinson's disease, obsessive-compulsive disorder, essential tremor, addiction, pain, minimally conscious states, and Alzheimer's disease. A lack of functional connectivity identified sites where stimulation was ineffective, and the sign of the correlation related to whether excitatory or inhibitory noninvasive stimulation was found clinically effective. These results suggest that resting-state functional connectivity may be useful for translating therapy between stimulation modalities, optimizing treatment, and identifying new stimulation targets. More broadly, this work supports a network perspective toward understanding and treating neuropsychiatric disease, highlighting the therapeutic potential of targeted brain network modulation."
What is the name of the study that examined Naivety of T Cells in In,On Naivety of T Cells in Inflammatory Bowel Disease: A Review.
What is the name of the immunomodulation in Stem Cell Differentiation into Neuron,Immunomodulation in Stem Cell Differentiation into Neurons and Brain Repair.
What is Protective to In Vitro and In Vivo Experimental Diabetic Neuropathy,Neutralization of Schwann Cell-Secreted VEGF Is Protective to In Vitro and In Vivo Experimental Diabetic Neuropathy.
What is the name of the group that produced RV-VLPs?,"Rotavirus virus-like particles (RV-VLPs) are potential alternative non-live vaccine candidates due to their high immunogenicity. They mimic the natural conformation of native viral proteins but cannot replicate because they do not contain genomic material which makes them safe. To date, most RV-VLPs have been derived from cell culture adapted strains or common G1 and G3 rotaviruses that have been circulating in communities for some time. In this study, chimaeric RV-VLPs were generated from the consensus sequences of African rotaviruses (G2, G8, G9 or G12 strains associated with either P[4], P[6] or P[8] genotypes) characterised directly from human stool samples without prior adaptation of the wild type strains to cell culture. Codon-optimised sequences for insect cell expression of genome segments 2 (VP2), 4 (VP4), 6 (VP6) and 9 (VP7) were cloned into a modified pFASTBAC vector, which allowed simultaneous expression of up to four genes using the Bac-to-Bac Baculovirus Expression System (BEVS; Invitrogen). Several combinations of the genome segments originating from different field strains were cloned to produce double-layered RV-VLPs (dRV-VLP; VP2/6), triple-layered RV-VLPs (tRV-VLP; VP2/6/7 or VP2/6/7/4) and chimaeric tRV-VLPs. The RV-VLPs were produced by infecting Spodoptera frugiperda 9 and Trichoplusia ni cells with recombinant baculoviruses using multi-cistronic, dual co-infection and stepwise-infection expression strategies. The size and morphology of the RV-VLPs, as determined by transmission electron microscopy, revealed successful production of RV-VLPs. The novel approach of producing tRV-VLPs, by using the consensus insect cell codon-optimised nucleotide sequence derived from dsRNA extracted directly from clinical specimens, should speed-up vaccine research and development by by-passing the need to adapt rotaviruses to cell culture. Other problems associated with cell culture adaptation, such as possible changes in epitopes, can also be circumvented. Thus, it is now possible to generate tRV-VLPs for evaluation as non-live vaccine candidates for any human or animal field rotavirus strain."
What did changes in drug reimbursement after the Medicare Modernization Act affect?,Did Changes in Drug Reimbursement After the Medicare Modernization Act Affect Chemotherapy Prescribing?
What is the TGF-Beta Downregulation of Distinct Chloride Channels,TGF-Beta Downregulation of Distinct Chloride Channels in Cystic Fibrosis-Affected Epithelia.
What was the most common dermatologic manifestation?,"BACKGROUND: Previous studies have shown that calcium channel blockers can cause cutaneous adverse reactions; however, the amounts of data collected are limited. Recently, there have been new drugs available for which only a few reports have been published with regard to cutaneous adverse reactions. OBJECTIVE: The purpose of our study was to estimate the rate and to study clinical patterns of cutaneous adverse drug reactions to calcium channel blockers. METHODS: Medical records of patients who had cutaneous adverse reactions to calcium channel blockers between January 2004 and December 2010, at the Adverse Drug Reaction Center of Siriraj hospital, Mahidol University, Bangkok, Thailand were reviewed. RESULTS: From 996,583 prescriptions of calcium channel blockers, forty six patients developed cutaneous adverse effects. Diltiazem was the drug that showed the highest rate of cutaneous reactions per million prescriptions. Maculopapular rash was the most common dermatologic manifestation (41.7%), followed by ankle/pedal edema (18.8%). Three patients (6.2%) developed Stevens-Johnson syndrome due to amlodipine and 1 patient (2.1%) developed toxic epidermal necrolysis due to manidipine. Four patients (8.7%) had renal or cardiovascular involvement. CONCLUSIONS: It is important to keep in mind that some patients may develop cutaneous adverse reactions, including severe reactions, from calcium channel blockers."
What is the therapeutic effect of a TM4SF5-specific monoclonal,Therapeutic effect of a TM4SF5-specific monoclonal antibody against colon cancer in a mouse model.
What is VAC therapy?,Vacuum Assisted Closure (VAC) therapyTM as a swiss knife multi-tool for enteric fistula closure: tips and tricks: a pilot study.
What is the main characteristic of nonylphenol and bisphenol A accumulation by fish?,Characteristics of nonylphenol and bisphenol A accumulation by fish and implications for ecological and human health.
What was the median follow-up time of all patients in the study?,"BACKGROUND AND OBJECTIVES: Loss of renal function in patients with primary membranous nephropathy cannot be reliably predicted by laboratory or clinical markers at the time of diagnosis. M-type phospholipase A2 receptor autoantibodies have been shown to be associated with changes in proteinuria. Their eventual effect on renal function, however, is unclear. DESIGN, SETTING, PARTICIPANTS, & MEASUREMENTS: In this prospective, open, multicenter study, the potential role of M-type phospholipase A2 receptor autoantibodies levels on the increase of serum creatinine in 118 consecutive patients with membranous nephropathy and positivity for serum M-type phospholipase A2 receptor autoantibodies was analyzed. Patients were included in the study between April of 2010 and December of 2012 and observed until December of 2013. The clinical end point was defined as an increase of serum creatinine by >/=25% and serum creatinine reaching >/=1.3 mg/dl. RESULTS: Patients were divided into tertiles according to their M-type phospholipase A2 receptor autoantibody levels at the time of inclusion in the study: tertile 1 levels=20-86 units/ml (low), tertile 2 levels=87-201 units/ml (medium), and tertile 3 levels >/=202 units/ml (high). The median follow-up time of all patients in the study was 27 months (interquartile range=18-33 months). The clinical end point was reached in 69% of patients with high M-type phospholipase A2 receptor autoantibodies levels (tertile 3) but only 25% of patients with low M-type phospholipase A2 receptor autoantibodies levels. The average time to reach the study end point was 17.7 months in patients with high M-type phospholipase A2 receptor autoantibodies levels and 30.9 months in patients with low M-type phospholipase A2 receptor autoantibodies levels. A multivariate Cox regression analysis showed that high M-type phospholipase A2 receptor autoantibodies levels-in addition to men and older age-are an independent predictor for progressive loss of renal function. CONCLUSIONS: High M-type phospholipase A2 receptor autoantibodies levels were associated with more rapid loss of renal function in this cohort of patients with primary membranous nephropathy and therefore, could be helpful for treatment decisions."
What was the median PLT count in BC-PC?,"BACKGROUND: Platelet (PLT) concentrates (PC) can be produced via the buffy coat (BC) or platelet-rich plasma (PRP) protocols. The 2 methods have not been compared with canine blood. OBJECTIVES: The aims of the study were to compare the PLT, WBC, and RBC concentrations, in vitro PLT function, and markers of platelet storage lesion (PSL) in canine PC generated by 2 different protocols, and determine microbial growth throughout storage. METHODS: PC from 8 healthy donor dogs were produced using 2 standard protocols, PRP and BC. PLT, WBC, and RBC counts, optical aggregometry assays, and PSL markers (pH, pCO2 , HCO3 , lactate and glucose concentrations, and LDH activity) were determined on storage days 0, 1, 3, 5, and 7. Aerobic and anaerobic bacterial cultures were also performed. RESULTS: Mean PLT counts were comparable between protocols and remained stable throughout storage up to day 7, while median WBC and RBC counts on day 0 were significantly higher in the BC-PC group (17,800 WBCs/muL; 195,000 RBCs/muL) than in the PRP-PC group (200 WBCs/muL; 10,000 RBCs/muL) (P = .012). In PRP-PC aggregometry, the median slope and amplitude in response to gamma-thrombin and convulxin (+ ADP) were significantly decreased, and virtually absent in BC-PC during storage. PSL markers (lactate, LDH activity) were higher in BC-PC. Aerobic bacterial growth was observed in 2 PRP-PC and 1 BC-PC. CONCLUSIONS: This in vitro study suggests that PRP-PC had lesser WBC and RBC contamination and superior PLT function compared with BC-PC. In vivo studies are required to address safety and efficacy of PRP-PC."
What is the LSEPAELTDAVK Peptide?,"Serum Concentrations of Prostate-Specific Antigen Measured Using Immune Extraction, Trypsin Digestion, and Tandem Mass Spectrometry Quantification of LSEPAELTDAVK Peptide."
What is the main barrier to a better understanding of how patients should be evaluated and treated?,"Disorders of sex development (DSD) represent a collection of rare diseases that generate substantial controversy regarding best practices for diagnosis and treatment. A significant barrier preventing a better understanding of how patients with these conditions should be evaluated and treated, especially from a psychological standpoint, is the lack of systematic and standardized approaches to identify cases for study inclusion. Common approaches include ""hand-picked"" subjects already known to the practice, which could introduce bias. We implemented an informatics-based approach to identify patients with DSD from electronic health records (EHRs) at three large, academic children's hospitals. The informatics approach involved comprehensively searching EHRs at each hospital using a combination of structured billing codes as an initial filtering strategy followed by keywords applied to the free text clinical documentation. The informatics approach was implemented to replicate the functionality of an EHR search engine (EMERSE) available at one of the hospitals. At the two hospitals that did not have EMERSE, we compared case ascertainment using the informatics method to traditional approaches employed for identifying subjects. Potential cases identified using all approaches were manually reviewed by experts in DSD to verify eligibility criteria. At the two institutions where both the informatics and traditional approaches were applied, the informatics approach identified substantially higher numbers of potential study subjects. The traditional approaches yielded 14 and 28 patients with DSD, respectively; the informatics approach yielded 226 and 77 patients, respectively. The informatics approach missed only a few cases that the traditional approaches identified, largely because those cases were known to the study team, but patient data were not in the particular children's hospital EHR. The use of informatics approaches to search electronic documentation can result in substantially larger numbers of subjects identified for studies of rare diseases such as DSD, and these approaches can be applied across hospitals."
What is the treatment regime for pulmonary arterial hypertension?,Riociguat as a treatment regime for pulmonary arterial hypertension: a review.
What is the morphokinetic study in the mouse?,Laser-assisted zona pellucida thinning does not facilitate hatching and may disrupt the in vitro hatching process: a morphokinetic study in the mouse.
What is the cause of pulmonary rheumatoid nodules?,Occurrence of pulmonary rheumatoid nodules following biological therapies.
What is the clinical response to ECT?,"OBJECTIVES: This study aimed to compare the effects of propofol, thiopental, and etomidate, which are routinely used in anesthesia for electroconvulsive therapy (ECT), on the cardiovascular system, seizure variables, recovery, cognitive functions, and response to treatment. METHODS: Male patients hospitalized at the Seventh Psychiatry Clinics of the Bakirkoy Teaching Hospital for Psychiatry, Neurology, and Neurosurgery who were treated with ECT were investigated prospectively. The effects on cardiovascular system parameters (heart rate, blood pressure, and blood oxygenation), seizure variables (duration and intensity of seizure), and recovery variables were recorded at every session, on prespecified time points, and the findings of the first session were used in this evaluation. In addition, clinical responses to treatment were evaluated with tests of cognitive functions before and after a course of ECT. Adverse effects were recorded. RESULTS: The sociodemographic characteristics of the 3 treatment groups were similar. There were no significant differences among the groups in terms of effects on cardiovascular system variables, seizure variables, and cognitive functions. The clinical response to ECT was good in all groups, without any significant differences. CONCLUSIONS: Propofol, etomidate, and thiopental are associated with similar safety and efficacy profiles."
What is the tyrphostin called?,"The tyrphostin, NT157, suppresses insulin receptor substrates and augments therapeutic response of prostate cancer."
What is the name of the aortic arch pathology that is becoming the target of,"Chronic and acute diseases of the thoracic aorta, including aortic dissection and aortic aneurysm are attracting increasing attention both in the light of an ageing Western and Oriental population and with the proliferation of modern diagnostic imaging modalities. While classical surgical strategies still dominate the care for acute and chronic pathology of the ascending aorta and the proximal arch region, new endovascular concepts are emerging and are likely to evolve as primary treatment strategies for descending aortic pathology in suitable patients constituting the majority of cases. Additionally, aortic arch pathologies are becoming the target of hybrid approaches combining surgical head-vessel debranching and interventional stent-graft implantation in the attempt to improve outcome by avoiding the high risk of open arch repair or complete replacement. Nonetheless, due to the complexity of the underlying vascular disease, every patient should be discussed in a team consisting of cardiologists, cardiac surgeons, anaesthesiologists and radiologists and an individualized therapeutic strategy should be carried out in a center with experience in both endovascular and surgical procedures."
What is the name of the five new Iridoids from Roots of Salvia digitalo,Five New Iridoids from Roots of Salvia digitaloides.
What is the Associated with a Paradoxical Gain of Muscle Function In Vivo,Alterations at the Cross-Bridge Level Are Associated with a Paradoxical Gain of Muscle Function In Vivo in a Mouse Model of Nemaline Myopathy.
How many patients were recruited in this study?,"OBJECTIVE: The purpose of this study was to investigate frequent disease-causing gene mutations in autosomal recessive retinitis pigmentosa (arRP) in the Japanese population. METHODS: In total, 99 Japanese patients with non-syndromic and unrelated arRP or sporadic RP (spRP) were recruited in this study and ophthalmic examinations were conducted for the diagnosis of RP. Among these patients, whole exome sequencing analysis of 30 RP patients and direct sequencing screening of all CNGA1 exons of the other 69 RP patients were performed. RESULTS: Whole exome sequencing of 30 arRP/spRP patients identified disease-causing gene mutations of CNGA1 (four patients), EYS (three patients) and SAG (one patient) in eight patients and potential disease-causing gene variants of USH2A (two patients), EYS (one patient), TULP1 (one patient) and C2orf71 (one patient) in five patients. Screening of an additional 69 arRP/spRP patients for the CNGA1 gene mutation revealed one patient with a homozygous mutation. CONCLUSIONS: This is the first identification of CNGA1 mutations in arRP Japanese patients. The frequency of CNGA1 gene mutation was 5.1% (5/99 patients). CNGA1 mutations are one of the most frequent arRP-causing mutations in Japanese patients."
What is a complication of cholecystectomy?,"Bile duct injuries are a recognised complication of cholecystectomy and a number of options exist for their evaluation. A 44-year-old woman presented with a suspected biliary leak 11 days following an open cholecystectomy. Her medical history was significant for biliopancreatic diversion 2 years previously. An ultrasound scan demonstrated a perihepatic collection but no dilation of the biliary tree was observed. The patient's surgical history and the lack of biliary dilation precluded an endoscopic retrograde cholangiopancreatography or percutaneous transhepatic cholangiography, and she could not undergo an MR cholangiopancreatography due to claustrophobia. A CT cholangiogram was performed and clarified the location of the injury, facilitating operative identification and repair of the bile duct. CT cholangiography performed as a dynamic procedure is useful as a means of identifying bile duct injuries."
What is the paradigm for understanding brain functioning?,"This article describes an interactive paradigm for understanding brain functioning. This model requires both explicit and implicit learning processes. This paradigm is illustrated through the interpretation of practical examples of behavior. Applications of current neuropsychological tests are presented within this interactive paradigm. The development of new neuropsychological tests is presented, as derived from experimental test paradigms that evaluate implicit learning processes."
STAT3: A Novel Molecular Mediator of Resistance to Chemoradiotherapy,STAT3: A Novel Molecular Mediator of Resistance to Chemoradiotherapy.
What is Wortmannin apoptosis in human ovarian cancer cells?,Wortmannin enhances cisplatin-induced apoptosis in human ovarian cancer cells in vitro.
What is the name of the study that provides an initial proof of concept for online social cognition,"BACKGROUND: Pervasive social cognition deficits are evident early in the course of schizophrenia and are directly linked to functional outcome, making them an important target for intervention. Here, we tested the feasibility of use, and initiated the evaluation of efficacy, of a novel, neuroplasticity-based online training program (SocialVille) in young adults with schizophrenia. METHODS: Schizophrenia patients (n=17) completed 24 hours of online SocialVille game play either from home or at a clinic, over a 6-10 week period. We examined training feasibility, gains on the SocialVille exercises relative to matched healthy controls (n=17), and changes on measures of social cognition, social functioning, global functioning and motivation. RESULTS: Subjects adhered to training requirements, and rated SocialVille in the medium to high range in satisfaction, enjoyment, and ease of use. Subjects demonstrated significant, large improvements on the speeded SocialVille tasks, and small to moderate improvements on the working memory tasks. Post-training performance on the SocialVille tasks were similar to initial performance of the healthy controls. Subjects also showed improvements on standard measures of social cognition, social functioning, and motivation. No improvements were recorded for emotion recognition indices on the MSCEIT, or on quality of life scales. CONCLUSION: This study provides an initial proof of concept for online social cognition training in schizophrenia. This form of training demonstrated feasibility and resulted in within-subject gains in social functioning and motivation. This pilot study represents a first step towards validating this training approach; randomized controlled trials, now underway, are designed to confirm and extend these findings."
